Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.48    0.00     151/151         dens_ [15]
                0.25    0.00     150/150         hbtout_ [20]
                0.00    0.00    2187/5073        invflv_ [109]
                0.00    0.00    1402/2958        iarflv_ [118]
                0.00    0.00       2/2           init_ [249]
                0.00    0.00       1/1           tablem_ [291]
                0.00    0.00       1/1           coulin_ [259]
-----------------------------------------------
                2.07    0.38     150/150         artmn_ [3]
[4]     44.7    2.07    0.38     150         relcol_ [4]
                0.24    0.00 1545812/1545812     cms_ [21]
                0.11    0.00 1545812/1545812     distc0_ [27]
                0.01    0.00     669/669         xnpi_ [54]
                0.01    0.00      98/98          dirct3_ [56]
                0.00    0.01     163/163         reab_ [63]
                0.00    0.00       1/1           crpn_ [70]
                0.00    0.00   30961/123686      ranart_ [73]
                0.00    0.00    4195/4195        newka_ [116]
                0.00    0.00    3571/5388        distce_ [108]
                0.00    0.00    2676/2692        pipik_ [119]
                0.00    0.00    2676/2676        spprr_ [123]
                0.00    0.00    2676/2676        sppee_ [121]
                0.00    0.00    2676/2676        spppe_ [122]
                0.00    0.00    2676/2676        srpre_ [124]
                0.00    0.00    2676/2676        sopoe_ [120]
                0.00    0.00    2676/2676        srree_ [125]
                0.00    0.00    2219/2507        width_ [126]
                0.00    0.00    1294/1294        ppxs_ [133]
                0.00    0.00     699/699         resdec_ [139]
                0.00    0.00     611/611         crkpla_ [141]
                0.00    0.00     579/579         crksph_ [143]
                0.00    0.00     300/300         crpp_ [150]
                0.00    0.00     150/150         inidcy_ [164]
                0.00    0.00     149/151         pnlka_ [163]
                0.00    0.00     131/136         pnska_ [168]
                0.00    0.00     128/128         dpion_ [169]
                0.00    0.00     113/113         pionpp_ [170]
                0.00    0.00     113/113         pipp1_ [171]
                0.00    0.00     105/105         dirct1_ [174]
                0.00    0.00     101/101         phimes_ [175]
                0.00    0.00      90/90          dirct2_ [183]
                0.00    0.00      52/148         akpsgm_ [165]
                0.00    0.00      52/52          xn1535_ [191]
                0.00    0.00      46/46          crkphi_ [192]
                0.00    0.00      45/45          erhon_ [193]
                0.00    0.00      41/269         w1535_ [152]
                0.00    0.00      37/142         aknsgm_ [166]
                0.00    0.00      36/36          getnst_ [195]
                0.00    0.00      35/35          dreson_ [196]
                0.00    0.00      32/32          pertur_ [198]
                0.00    0.00      21/21          pibphi_ [214]
                0.00    0.00      19/19          crdir_ [216]
                0.00    0.00      16/192         w1440_ [159]
                0.00    0.00      16/16          robbar_ [217]
                0.00    0.00      12/91          akplam_ [182]
                0.00    0.00      12/12          ksreso_ [222]
                0.00    0.00      10/61          akpel_ [190]
                0.00    0.00      10/70          aknel_ [187]
                0.00    0.00       9/12          sbbdm_ [223]
                0.00    0.00       8/8           rrbbar_ [225]
                0.00    0.00       8/38          xppbar_ [194]
                0.00    0.00       7/7           pp2_ [228]
                0.00    0.00       7/7           xphib_ [230]
                0.00    0.00       7/7           xkhype_ [229]
                0.00    0.00       6/6           crrd_ [231]
                0.00    0.00       6/6           xnd_ [233]
                0.00    0.00       5/5           decay_ [235]
                0.00    0.00       5/5           crphim_ [234]
                0.00    0.00       4/27          aknlam_ [205]
                0.00    0.00       4/4           oobbar_ [239]
                0.00    0.00       4/4           crlaba_ [238]
                0.00    0.00       3/3           crnd_ [243]
                0.00    0.00       3/3           xpp_ [246]
                0.00    0.00       1/1           decay2_ [265]
                0.00    0.00       1/1           crpd_ [263]
                0.00    0.00       1/1           xnp_ [295]
                0.00    0.00       1/1           xddin_ [294]
                0.00    0.00       1/1           prbbar_ [285]
                0.00    0.00       1/1           pobbar_ [284]
                0.00    0.00       1/1           crppba_ [264]
                0.00    0.00       1/1           crlan_ [262]
                0.00    0.00       1/1           crkn_ [260]
-----------------------------------------------
                0.05    2.12       1/1           MAIN__ [1]
[5]     39.6    0.05    2.12       1         hijing_ [5]
                0.00    1.63       1/1           zpcmn_ [6]
                0.01    0.43       1/1           ptoh_ [16]
                0.00    0.03      42/42          jetini_ [40]
                0.00    0.01      42/42          hijhrd_ [47]
                0.01    0.00       1/1           hjana2_ [59]
                0.00    0.00       1/1           htop_ [69]
                0.00    0.00   25540/25540       romg_ [85]
                0.00    0.00   13217/123686      ranart_ [73]
                0.00    0.00     268/268         hijfrg_ [153]
                0.00    0.00     268/827         luedit_ [136]
                0.00    0.00     264/264         hirnd_ [155]
                0.00    0.00     162/162         hijsft_ [160]
                0.00    0.00      29/29          hijcsc_ [202]
                0.00    0.00       1/1           hijini_ [269]
                0.00    0.00       1/1           minijet_out_ [280]
                0.00    0.00       1/1           embedhighpt_ [267]
                0.00    0.00       1/1           hjana1_ [272]
-----------------------------------------------
                0.00    1.63       1/1           hijing_ [5]
[6]     29.8    0.00    1.63       1         zpcmn_ [6]
                0.01    1.53   23884/23884       zpcrun_ [7]
                0.00    0.07   23883/23883       zpca1_ [28]
                0.00    0.01       1/1           inirun_ [60]
                0.00    0.01       1/1           zpca2_ [61]
                0.00    0.00       1/1           inievt_ [276]
                0.00    0.00       1/1           zpcou_ [297]
                0.00    0.00       1/1           zpstrg_ [298]
-----------------------------------------------
                0.01    1.53   23884/23884       zpcmn_ [6]
[7]     28.1    0.01    1.53   23884         zpcrun_ [7]
                0.00    1.35   23883/23883       ulist_ [9]
                0.16    0.00   23884/23884       getict_ [22]
                0.00    0.02   17003/17003       cellre_ [45]
                0.00    0.00    4200/4200        scat_ [65]
                0.00    0.00    2680/2680        celasn_ [67]
                0.00    0.00   23883/23883       traceparton_ [86]
                0.00    0.00    8402/8402        savrec_ [101]
-----------------------------------------------
                0.00    1.35   28083/28083       ulist_ [9]
[8]     24.6    0.00    1.35   28083         ulist1_ [8]
                0.04    1.30   28083/28083       chkin1_ [10]
                0.00    0.01   28083/38296       wallc_ [44]
                0.00    0.00   28083/38296       fixtim_ [81]
-----------------------------------------------
                0.00    1.35   23883/23883       zpcrun_ [7]
[9]     24.6    0.00    1.35   23883         ulist_ [9]
                0.00    1.35   28083/28083       ulist1_ [8]
-----------------------------------------------
                0.04    1.30   28083/28083       ulist1_ [8]
[10]    24.4    0.04    1.30   28083         chkin1_ [10]
                0.10    1.20  720889/720889      chkcel_ [11]
-----------------------------------------------
                0.10    1.20  720889/720889      chkin1_ [10]
[11]    23.6    0.10    1.20  720889         chkcel_ [11]
                0.13    1.01 11637705/11637705     ud2_ [12]
                0.06    0.00 11674188/11674188     ck_ [35]
-----------------------------------------------
                0.13    1.01 11637705/11637705     chkcel_ [11]
[12]    20.7    0.13    1.01 11637705         ud2_ [12]
                0.13    0.72 11637705/13541874     isco_ [13]
