 RANTOT :    1.31706572       GSTOT =    0.00000000    
 RANTOT :   0.802783072       GSTOT =    0.00000000    
 RANTOT :   0.321522236       GSTOT =    0.00000000    
 RANTOT :    1.27454293       GSTOT =    0.00000000    
 RANTOT :   0.743521571       GSTOT =    0.00000000    
 RANTOT :    7.73412809E-02   GSTOT =    0.00000000    
 RANTOT :    1.46392524       GSTOT =    0.00000000    
 RANTOT :    1.24691188       GSTOT =    0.00000000    
 RANTOT :    1.48798537       GSTOT =    0.00000000    
 RANTOT :   0.944016635       GSTOT =    0.00000000    
 RANTOT :    1.20754445       GSTOT =    0.00000000    
 RANTOT :   0.559935451       GSTOT =    0.00000000    
 RANTOT :    1.09250164       GSTOT =    0.00000000    
 RANTOT :    1.26611292       GSTOT =    0.00000000    
 RANTOT :   0.313663721       GSTOT =    0.00000000    
 RANTOT :    1.04791594       GSTOT =    0.00000000    
 RANTOT :    1.12019956       GSTOT =    0.00000000    
 RANTOT :    1.52550626       GSTOT =    0.00000000    
 RANTOT :   0.238587409       GSTOT =    0.00000000    
 RANTOT :    1.01030099       GSTOT =    0.00000000    
 RANTOT :   0.230032101       GSTOT =    0.00000000    
 RANTOT :   0.922715127       GSTOT =    0.00000000    
 RANTOT :   0.288489878       GSTOT =    0.00000000    
 RANTOT :   0.913166881       GSTOT =    0.00000000    
 RANTOT :   0.189035594       GSTOT =    0.00000000    
 RANTOT :   0.985523999       GSTOT =    0.00000000    
 RANTOT :   0.292802483       GSTOT =    0.00000000    
 RANTOT :   0.242671713       GSTOT =    0.00000000    
 RANTOT :   0.352115542       GSTOT =    0.00000000    
 RANTOT :    6.98902383E-02   GSTOT =    0.00000000    
 RANTOT :   0.816896856       GSTOT =    0.00000000    
 RANTOT :   0.966059148       GSTOT =    0.00000000    
 RANTOT :   0.412724048       GSTOT =    0.00000000    
 RANTOT :    7.94831514E-02   GSTOT =    0.00000000    
 RANTOT :   0.869922698       GSTOT =    0.00000000    
 RANTOT :    1.51162636       GSTOT =    0.00000000    
 RANTOT :   0.229492113       GSTOT =    0.00000000    
 RANTOT :   0.943046391       GSTOT =    0.00000000    
 RANTOT :   0.292037040       GSTOT =    0.00000000    
 RANTOT :   0.138301358       GSTOT =    0.00000000    
 RANTOT :   0.713921964       GSTOT =    0.00000000    
 RANTOT :   0.346664786       GSTOT =    0.00000000    
 RANTOT :   0.947141409       GSTOT =    0.00000000    
 RANTOT :   0.596001387       GSTOT =    0.00000000    
 RANTOT :   0.955681443       GSTOT =    0.00000000    
 RANTOT :   0.371942043       GSTOT =    0.00000000    
 RANTOT :    1.25452769       GSTOT =    0.00000000    
 RANTOT :   0.943286359       GSTOT =    0.00000000    
 RANTOT :    1.00842226       GSTOT =    0.00000000    
 RANTOT :    1.07061601       GSTOT =    0.00000000    
 RANTOT :    1.31218755       GSTOT =    0.00000000    
 RANTOT :    1.06085992       GSTOT =    0.00000000    
 RANTOT :    1.28978956       GSTOT =    0.00000000    
 RANTOT :    2.84819957E-02   GSTOT =    0.00000000    
 RANTOT :    1.19812047       GSTOT =    0.00000000    
 RANTOT :    1.14094818       GSTOT =    0.00000000    
 RANTOT :   0.348175913       GSTOT =    0.00000000    
 RANTOT :   0.613738716       GSTOT =    0.00000000    
 RANTOT :   0.978116930       GSTOT =    0.00000000    
 RANTOT :   0.106421590       GSTOT =    0.00000000    
 RANTOT :   0.251707643       GSTOT =    0.00000000    
 RANTOT :    1.03321278       GSTOT =    0.00000000    
 RANTOT :   0.688484311       GSTOT =    0.00000000    
 RANTOT :   0.527061820       GSTOT =    0.00000000    
 RANTOT :    1.46758223       GSTOT =    0.00000000    
 RANTOT :   0.210341841       GSTOT =    0.00000000    
 RANTOT :    1.05961823       GSTOT =    0.00000000    
 RANTOT :   0.322101355       GSTOT =    0.00000000    
 RANTOT :   0.889387906       GSTOT =    0.00000000    
 RANTOT :   0.464012444       GSTOT =    0.00000000    
 RANTOT :   0.632623136       GSTOT =    0.00000000    
 RANTOT :   0.894586325       GSTOT =    0.00000000    
 RANTOT :   0.114123143       GSTOT =    0.00000000    
 RANTOT :   0.166233197       GSTOT =    0.00000000    
 RANTOT :    1.46512258       GSTOT =    0.00000000    
 RANTOT :    1.16574037       GSTOT =    0.00000000    
 RANTOT :   0.476002991       GSTOT =    0.00000000    
 RANTOT :    1.23523152       GSTOT =    0.00000000    
 RANTOT :   0.480173707       GSTOT =    0.00000000    
 RANTOT :   0.444989085       GSTOT =    0.00000000    
 RANTOT :   0.457301795       GSTOT =    0.00000000    
 RANTOT :   0.534236073       GSTOT =    0.00000000    
 RANTOT :    1.26237082       GSTOT =    0.00000000    
 RANTOT :   0.118878260       GSTOT =    0.00000000    
 RANTOT :   0.509084105       GSTOT =    0.00000000    
 RANTOT :    8.88415240E-03   GSTOT =    0.00000000    
 RANTOT :    1.37774467       GSTOT =    0.00000000    
 RANTOT :   0.336364120       GSTOT =    0.00000000    
 RANTOT :    1.23485792       GSTOT =    0.00000000    
 RANTOT :   0.201828957       GSTOT =    0.00000000    
 RANTOT :   0.683713496       GSTOT =    0.00000000    
 RANTOT :   0.900079846       GSTOT =    0.00000000    
 RANTOT :    1.26167500       GSTOT =    0.00000000    
 RANTOT :   0.315855414       GSTOT =    0.00000000    
 RANTOT :    1.13508534       GSTOT =    0.00000000    
 RANTOT :   0.143652707       GSTOT =    0.00000000    
 RANTOT :   0.216103390       GSTOT =    0.00000000    
 RANTOT :    1.20616186       GSTOT =    0.00000000    
 RANTOT :   0.133660153       GSTOT =    0.00000000    
 RANTOT :    1.08522701       GSTOT =    0.00000000    
 RANTOT :    1.30104482       GSTOT =    0.00000000    
 RANTOT :    1.28777957       GSTOT =    0.00000000    
 RANTOT :   0.572391450       GSTOT =    0.00000000    
 RANTOT :   0.847252250       GSTOT =    0.00000000    
 RANTOT :   0.206746578       GSTOT =    0.00000000    
 RANTOT :    1.00252151       GSTOT =    0.00000000    
 RANTOT :   0.694994032       GSTOT =    0.00000000    
 RANTOT :   0.457364500       GSTOT =    0.00000000    
 RANTOT :   0.162128195       GSTOT =    0.00000000    
 RANTOT :   0.974322021       GSTOT =    0.00000000    
 RANTOT :   0.169684589       GSTOT =    0.00000000    
 RANTOT :   0.409788787       GSTOT =    0.00000000    
 RANTOT :   0.261155516       GSTOT =    0.00000000    
 RANTOT :    1.20419896       GSTOT =    0.00000000    
 RANTOT :   0.544887841       GSTOT =    0.00000000    
 RANTOT :   0.272791654       GSTOT =    0.00000000    
 RANTOT :   0.382958740       GSTOT =    0.00000000    
 RANTOT :   0.113550253       GSTOT =    0.00000000    
 RANTOT :   0.819187582       GSTOT =    0.00000000    
 RANTOT :   0.553652227       GSTOT =    0.00000000    
 RANTOT :   0.758278906       GSTOT =    0.00000000    
 RANTOT :   0.611171007       GSTOT =    0.00000000    
 RANTOT :   0.674886048       GSTOT =    0.00000000    
 RANTOT :   0.230631158       GSTOT =    0.00000000    
 RANTOT :   0.263179898       GSTOT =    0.00000000    
 RANTOT :    1.09500873       GSTOT =    0.00000000    
 RANTOT :    1.31733727       GSTOT =    0.00000000    
 RANTOT :   0.714715183       GSTOT =    0.00000000    
 RANTOT :   0.833577871       GSTOT =    0.00000000    
 RANTOT :    1.50066006       GSTOT =    0.00000000    
 RANTOT :    1.14159775       GSTOT =    0.00000000    
 RANTOT :    4.20403890E-02   GSTOT =    0.00000000    
 RANTOT :   0.396182954       GSTOT =    0.00000000    
 RANTOT :   0.461891502       GSTOT =    0.00000000    
 RANTOT :   0.301426619       GSTOT =    0.00000000    
 RANTOT :   0.207708657       GSTOT =    0.00000000    
 RANTOT :    1.41977751       GSTOT =    0.00000000    
 RANTOT :    1.02247834       GSTOT =    0.00000000    
 RANTOT :   0.200969517       GSTOT =    0.00000000    
 RANTOT :   0.966090262       GSTOT =    0.00000000    
 RANTOT :   0.398904353       GSTOT =    0.00000000    
 RANTOT :    1.10399425       GSTOT =    0.00000000    
 RANTOT :   0.290938437       GSTOT =    0.00000000    
 RANTOT :   0.926989436       GSTOT =    0.00000000    
 RANTOT :   0.131695777       GSTOT =    0.00000000    
 RANTOT :    1.32246244       GSTOT =    0.00000000    
 RANTOT :    1.07599998       GSTOT =    0.00000000    
 RANTOT :    1.20374441       GSTOT =    0.00000000    
 RANTOT :    1.49318528       GSTOT =    0.00000000    
 RANTOT :    1.08058858       GSTOT =    0.00000000    
 RANTOT :   0.610611260       GSTOT =    0.00000000    
 RANTOT :   0.349640250       GSTOT =    0.00000000    
